W;B;E;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBE [m3 aardgas];FVrvKC_mean [m3 aardgas];FVrvKC sd [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
4;4;1;0;7.120438865;270.2244576;1082.986768;524.8596495;114.1449742;531.3681485;2270700.762;1.960728787;3104
4;4;2;0;5.947073975;272.9853679;875.3761116;413.7477198;101.291954;434.4931933;1305317.297;1.960570268;3915
4;5;0;0;7.118435503;82.95499614;975.3595756;435.19704;125.3652687;424.2636336;34145332.13;1.960015245;46281
4;5;1;0;4.089940762;540.2872642;1039.101323;526.2790072;121.961194;544.3585908;548380.4955;1.967091963;335
4;5;2;0;4.106684517;315.9421028;691.8344997;332.8488385;91.53184165;357.7878647;98546.66093;1.964062511;581
4;6;0;0;6.381359045;104.802927;938.3121159;420.7674614;130.6162501;413.6240668;38165643.24;1.96001369;47729
4;6;1;0;6.111205384;183.9024235;945.5597426;521.6087618;124.6329114;518.391196;482159.7722;1.966003201;395
4;6;2;0;2.623920126;471.1975776;732.8374752;365.6278883;99.71336207;396.3856795;85906.87716;1.965100873;464
4;7;0;0;5.427269641;138.4964525;893.4762638;418.8886183;139.108587;414.5287567;41868778.91;1.960022373;40631
4;7;1;0;4.515255423;290.8361733;898.4825652;470.871779;134.5763052;477.0663599;728889.6004;1.964748614;498
4;7;2;0;4.522012331;231.2034419;773.6615968;410.5101057;119.9594595;435.05438;195723.2703;1.96533341;444
4;8;0;0;4.953570199;159.2939483;868.179047;406.929956;143.1058954;406.517277;26850744.2;1.960057729;25308
4;8;1;0;3.177966325;440.4234998;881.3710849;401.827993;138.751497;409.6501454;665016.3743;1.967113445;334
4;8;2;0;2.9689601;399.9768232;757.5565282;365.7670517;120.4393771;392.6380497;380489.4461;1.962609216;899
4;9;0;0;5.368523982;32.11411295;727.8612016;363.6299521;129.5974631;358.2495857;8349330.895;1.960199123;10091
4;9;1;0;3.083977537;327.0717153;711.5409149;336.0637824;124.6666667;351.949548;320132.6667;1.966707009;354
4;9;2;0;1.005125344;471.6839545;588.8478919;296.9382438;116.566494;322.55443;262584.19;1.964076722;579
4;10;0;0;4.87577435;67.42572498;699.6620781;356.9289051;129.6689116;352.7333145;4325495.421;1.960479605;4603
4;10;1;0;4.13579764;171.4852375;667.8631224;346.0239842;120.0198675;354.5128517;245413.8808;1.967876531;302
4;10;2;0;1.524929428;382.1269231;542.467994;279.76651;105.1465517;304.2605798;37970.50862;1.980807541;116
5;0;0;0;5.265988666;609.1773838;1172.56017;626.3423009;106.9851878;616.8275953;66196513.33;1.960055738;25857
5;0;1;0;6.068884668;521.845483;1035.919604;612.6232908;84.70652344;606.3255099;44908653.03;1.960056994;25508
5;0;2;0;5.805694509;465.5034129;883.1378434;512.5718659;71.93530934;529.6688018;3260109.21;1.960522322;4251
5;1;0;0;5.358361822;632.4320637;1145.724426;590.8486603;95.79277766;600.9228898;21974901.41;1.960130031;14289
5;1;1;0;6.026586544;573.5185803;1061.413865;593.7262792;80.95715223;610.1566706;14404114.81;1.96013688;13723
5;1;2;0;7.058427571;377.8917131;836.9379385;492.2144202;65.03519669;502.4316803;567642.8033;1.96242533;966
5;2;0;0;5.535151384;551.9390233;1046.31405;574.3885992;89.31553861;579.0244982;17626012.12;1.960169611;11539
5;2;1;0;6.024048007;460.2892522;925.7234686;531.714432;77.26270039;544.1036564;12652900.42;1.960133036;14035
5;2;2;0;4.503067324;486.7013026;765.5779831;465.7680084;61.93038222;496.9836147;2121174.146;1.960426794;5128
5;3;0;0;6.246558182;427.4529182;1078.963237;599.1118562;104.2990875;569.6111784;6444930.308;1.960766292;2959
5;3;1;0;6.166820226;385.1767051;917.494395;542.0039862;86.31963805;543.2669254;4791861.233;1.960544455;4089
5;3;2;0;5.284039156;341.3041728;757.2554525;453.4929474;78.71843251;470.8786074;914272.7518;1.961688256;1378
5;4;0;0;6.330375845;266.7861144;857.6779496;516.1376222;93.34229905;502.2825865;17174264.41;1.960147898;12901
5;4;1;0;6.19941593;279.7034329;779.5238531;495.3359242;80.62379195;499.4385166;10281325.08;1.960172448;11382
5;4;2;0;6.420385528;246.3698831;711.0706214;449.7922703;72.37894613;464.7865409;4112083.383;1.960242459;8521
5;5;0;0;6.726987453;128.8510904;797.5830978;487.2619567;99.41032477;471.5752397;4526954.32;1.960539247;4126
5;5;1;0;5.485135881;214.7808724;692.3546851;431.0769492;87.06690647;432.9408698;2548265.555;1.960817992;2780
5;5;2;0;4.564504908;305.5575052;648.7240278;392.5127368;75.18154312;416.4735782;487850.4297;1.961761418;1322
5;6;0;0;5.894808376;134.8616673;717.159991;445.3332082;98.7815526;434.2259914;6856774.247;1.960353468;6093
5;6;1;0;5.221191246;188.1895644;659.9058908;419.869728;90.34649456;426.5140229;3288956.649;1.96056474;3951
5;6;2;0;5.3556264;200.2882022;638.5731918;379.5631023;81.83636364;395.8793639;655604.2909;1.961453346;1595
5;7;0;0;5.727163286;68.54824495;686.7354085;442.2900266;107.9395039;429.3911581;10401895.72;1.960241644;8546
5;7;1;0;5.22844775;110.541549;636.3737139;433.6591961;100.5713722;427.2230909;6297532.163;1.960431906;5072
5;7;2;0;3.302067755;263.0836076;579.5249004;333.1333148;95.83125371;348.0187438;1350152.076;1.96137537;1683
5;8;0;0;5.55943123;64.10249087;661.6240126;436.126961;107.4788943;412.059547;11126426.73;1.960287103;7344
5;8;1;0;4.441838433;162.1217206;591.8714158;397.9970251;96.75041128;390.870344;6340268.937;1.960521797;4255
5;8;2;0;3.881000406;205.8558547;539.0753345;323.441773;85.8591716;332.8739411;1863052.724;1.960900601;2535
5;9;0;0;4.783208178;93.99679128;555.1530877;392.0371647;96.41150442;368.4031471;3091065.841;1.961277672;1808
5;9;1;0;5.013551069;108.1955661;543.0483727;380.0144279;86.73548959;358.5224048;3222617.087;1.961016078;2257
5;9;2;0;4.078298531;146.5693437;487.121491;300.5357598;83.50348675;303.0774478;1102922.483;1.961620818;1434
5;10;0;0;4.062619485;194.8515238;528.5603672;413.0157856;82.14129941;411.3658095;3696933.056;1.961042873;2201
5;10;1;0;5.454639572;102.2734493;536.9345484;436.9088548;79.68649318;406.1135303;1402603.683;1.962911599;807
5;10;2;0;2.43270706;230.9089985;408.7543842;250.1499891;73.10596026;265.5054246;87160.30464;1.975905331;151
6;0;0;0;7.181096852;332.2995894;1083.214849;683.527524;104.5683237;609.8445054;39486308.18;1.96014242;13297
6;0;1;0;7.260706111;333.391237;912.0726846;601.8218547;79.70043668;562.9762009;43116565.25;1.960062653;24045
6;0;2;0;6.24731534;352.6533996;761.4028423;480.8926162;65.42801515;495.8190651;5760840.262;1.960213702;9502
6;1;0;0;6.974068225;392.4888659;1018.297272;593.3778605;89.73362265;577.451231;7017551.64;1.960454446;4839
6;1;1;0;7.313321933;374.9219489;928.0214549;564.7828166;75.6290385;561.4887777;10195544.36;1.960193504;10338
6;1;2;0;6.622434217;391.8095043;799.3385511;457.108123;61.53765119;480.2663439;831263.1167;1.96089036;2563
6;2;0;0;6.71324679;378.7712134;903.6748903;532.4423614;78.18924186;558.9428835;2242733.246;1.960426523;5131
6;2;1;0;6.17455507;412.0691178;870.4491144;509.7988785;74.23692743;540.6449871;4121446.757;1.960161233;12029
6;2;2;0;8.669784738;290.1413386;872.0658864;528.0403982;67.12099151;556.6388146;1319823.548;1.960375351;5769
6;3;0;0;8.429446173;122.3082956;890.2775102;530.612466;91.10553633;530.4468875;717303.1246;1.962020016;1156
6;3;1;0;5.972836888;347.293199;833.5012891;451.9972403;81.40320911;466.4885998;2227501.8;1.960578274;3864
6;3;2;0;3.587319936;406.6104768;693.0343037;434.2982959;79.84340176;466.7623643;626193.1883;1.961357135;1705
6;4;0;0;6.708052161;208.6757441;834.1106834;538.5368405;93.23644544;544.2116277;3946334.496;1.960497942;4445
6;4;1;0;6.420784469;253.9310677;805.5036272;527.8220751;85.90423214;537.3100846;7360793.034;1.960236134;8719
6;4;2;0;7.513587549;183.4916351;719.6964484;481.4515072;71.36468562;499.2507968;2193252.961;1.960372799;5805
6;5;0;0;7.227243114;29.97536877;779.6774322;494.4471244;103.732786;495.4868411;2688259.381;1.960592599;3776
6;5;1;0;6.269380761;117.9064854;705.6211147;462.4951516;93.74364896;476.8425525;2173178.905;1.96057307;3897
6;5;2;0;4.218123127;343.2608815;671.2281041;455.7332616;77.75193199;486.5796294;573975.3702;1.961800377;1294
6;6;0;0;5.617046469;91.41020972;671.5440083;441.1315405;103.2809327;450.3143696;4668471.468;1.960340427;6304
6;6;1;0;5.762239977;101.9694017;673.4988019;448.7970663;99.18528252;455.1495439;4250616.126;1.960409497;5327
