woning;bouwjaarklasse;Elabel;besparing
rijwoning tussen;1930 - 1945;A;1
rijwoning tussen;1930 - 1945;B;0.972992809
rijwoning tussen;1930 - 1945;C;1.089978871
rijwoning tussen;1930 - 1945;D;1.135418034
rijwoning tussen;1930 - 1945;E;1.26922203
rijwoning tussen;1930 - 1945;F;1.338160543
rijwoning tussen;1930 - 1945;G;1.36075886
rijwoning tussen;1930 - 1945;N;1.408394416
rijwoning tussen;1946 - 1964;A;1
rijwoning tussen;1946 - 1964;B;1.074805714
rijwoning tussen;1946 - 1964;C;1.118666833
rijwoning tussen;1946 - 1964;D;1.240469811
rijwoning tussen;1946 - 1964;E;1.326410627
rijwoning tussen;1946 - 1964;F;1.368192448
rijwoning tussen;1946 - 1964;G;1.354572592
rijwoning tussen;1946 - 1964;N;1.406135481
rijwoning tussen;1965 - 1974;A;1
rijwoning tussen;1965 - 1974;B;1.052753271
rijwoning tussen;1965 - 1974;C;1.159135894
rijwoning tussen;1965 - 1974;D;1.273179351
rijwoning tussen;1965 - 1974;E;1.343778603
rijwoning tussen;1965 - 1974;F;1.382691958
rijwoning tussen;1965 - 1974;G;1.343431378
rijwoning tussen;1965 - 1974;N;1.310493355
rijwoning tussen;1975 - 1991;A;1
rijwoning tussen;1975 - 1991;B;1.079644939
rijwoning tussen;1975 - 1991;C;1.151343265
rijwoning tussen;1975 - 1991;D;1.256659435
rijwoning tussen;1975 - 1991;E;1.348027226
rijwoning tussen;1975 - 1991;F;0
rijwoning tussen;1975 - 1991;G;0
rijwoning tussen;1975 - 1991;N;1.161281063
rijwoning tussen;1992 - 1995;A;1
rijwoning tussen;1992 - 1995;B;1.04726013
rijwoning tussen;1992 - 1995;C;1.131142683
rijwoning tussen;1992 - 1995;D;0
rijwoning tussen;1992 - 1995;E;0
rijwoning tussen;1992 - 1995;F;0
rijwoning tussen;1992 - 1995;G;0
rijwoning tussen;1992 - 1995;N;1.151856166
rijwoning tussen;1996 - 1999;A;1
rijwoning tussen;1996 - 1999;B;1.081518321
rijwoning tussen;1996 - 1999;C;1.182068042
rijwoning tussen;1996 - 1999;D;0
rijwoning tussen;1996 - 1999;E;0
rijwoning tussen;1996 - 1999;F;0
rijwoning tussen;1996 - 1999;G;0
rijwoning tussen;1996 - 1999;N;1.145253496
rijwoning tussen;2000 - 2005;A;1
rijwoning tussen;2000 - 2005;B;1.05123717
rijwoning tussen;2000 - 2005;C;0
rijwoning tussen;2000 - 2005;D;1.410525752
rijwoning tussen;2000 - 2005;E;0
rijwoning tussen;2000 - 2005;F;0
rijwoning tussen;2000 - 2005;G;0
rijwoning tussen;2000 - 2005;N;1.054824467
rijwoning tussen;2006 - 2010;A;1
rijwoning tussen;2006 - 2010;B;1.046530904
rijwoning tussen;2006 - 2010;C;0
rijwoning tussen;2006 - 2010;D;0
rijwoning tussen;2006 - 2010;E;0
rijwoning tussen;2006 - 2010;F;0
rijwoning tussen;2006 - 2010;G;0
rijwoning tussen;2006 - 2010;N;1.002994095
rijwoning tussen;2011 - 2014;A;1
rijwoning tussen;2011 - 2014;B;0
rijwoning tussen;2011 - 2014;C;0.909610795
rijwoning tussen;2011 - 2014;D;0
rijwoning tussen;2011 - 2014;E;0
rijwoning tussen;2011 - 2014;F;0
rijwoning tussen;2011 - 2014;G;0
rijwoning tussen;2011 - 2014;N;1.023940111
rijwoning tussen;2015 - 2020;A;1
rijwoning tussen;2015 - 2020;B;0
rijwoning tussen;2015 - 2020;C;0
rijwoning tussen;2015 - 2020;D;0
rijwoning tussen;2015 - 2020;E;0
rijwoning tussen;2015 - 2020;F;0
rijwoning tussen;2015 - 2020;G;0
rijwoning tussen;2015 - 2020;N;1.093907106
rijwoning tussen;2021 - 2030;A;1
rijwoning tussen;2021 - 2030;B;0
rijwoning tussen;2021 - 2030;C;0
rijwoning tussen;2021 - 2030;D;0
rijwoning tussen;2021 - 2030;E;0
rijwoning tussen;2021 - 2030;F;0
rijwoning tussen;2021 - 2030;G;0
rijwoning tussen;2021 - 2030;N;0
rijwoning tussen;2031 - 2040;A;1
rijwoning tussen;2031 - 2040;B;0
rijwoning tussen;2031 - 2040;C;0
rijwoning tussen;2031 - 2040;D;0
rijwoning tussen;2031 - 2040;E;0
rijwoning tussen;2031 - 2040;F;0
