'BU_CODE';'V01_Strategievariant'
'BU00981006';'s1b'
'BU00981007';'s1b'
'BU00981008';'s1b'
'BU00981009';'s1b'
'BU00981101';'s1b'
'BU00981102';'s1b'
'BU00981201';'s1b'
'BU00981301';'s1b'
'BU00981302';'s1b'
'BU00981401';'s1b'
'BU00981402';'s1b'
'BU00981501';'s1b'
'BU00981502';'s1b'
'BU01060000';'s1b'
'BU01060001';'s1b'
'BU01060002';'s1b'
'BU01060003';'s1b'
'BU01060004';'s1b'
'BU01060005';'s1b'
'BU01060006';'s1b'
'BU01060007';'s1b'
'BU01060008';'s1b'
'BU01060009';'s1b'
'BU01060010';'s1b'
'BU01060011';'s1b'
'BU01060012';'s1b'
'BU01060100';'s1b'
'BU01060101';'s1b'
'BU01060102';'s1b'
'BU01060103';'s1b'
'BU01060104';'s1b'
'BU01060105';'s1b'
'BU01060200';'s1b'
'BU01060201';'s1b'
'BU01060202';'s1b'
'BU01060203';'s1b'
'BU01060204';'s1b'
'BU01060205';'s1b'
'BU01060302';'s1b'
'BU01060303';'s1b'
'BU01060304';'s1b'
'BU01060305';'s1b'
'BU01060306';'s1b'
'BU01060307';'s1b'
'BU01060308';'s1b'
'BU01060309';'s1b'
'BU01060310';'s1b'
'BU01060311';'s1b'
'BU01060400';'s1b'
'BU01060401';'s1b'
'BU01060402';'s1b'
'BU01060403';'s1b'
'BU01060500';'s1b'
'BU01060501';'s1b'
'BU01060502';'s1b'
'BU01060503';'s1b'
'BU01060504';'s1b'
'BU01060505';'s1b'
'BU01060506';'s1b'
'BU01060507';'s1b'
'BU01060508';'s1b'
'BU01060509';'s1b'
'BU01060600';'s1b'
'BU01060601';'s1b'
'BU01060602';'s1b'
'BU01060603';'s1b'
'BU01060604';'s1b'
'BU01060700';'s1b'
'BU01060701';'s1b'
'BU01060702';'s1b'
'BU01060703';'s1b'
'BU01060704';'s1b'
'BU01060705';'s1b'
'BU01060706';'s1b'
'BU01060707';'s1b'
'BU01060708';'s1b'
'BU01060709';'s1b'
'BU01060710';'s1b'
'BU01060711';'s1b'
'BU01060712';'s1b'
'BU01060713';'s1b'
'BU01060714';'s1b'
'BU01060715';'s1b'
'BU01060716';'s1b'
'BU01060717';'s1b'
'BU01060800';'s1b'
'BU01060801';'s1b'
'BU01060802';'s1b'
