type_str	bouwjaar_str	Vrv_N_asl	Vrv_N_opp	Vrv_G_asl	Vrv_G_opp	Vrv_F_asl	Vrv_F_opp	Vrv_E_asl	Vrv_E_opp	Vrv_D_asl	Vrv_D_opp	Vrv_C_asl	Vrv_C_opp	Vrv_B_asl	Vrv_B_opp	Vrv_A_asl	Vrv_A_opp	Vvt_asl	Vvt_opp	Vtw_asl	Vtw_opp	Vea_asl	Vea_opp	Vkd_asl	Vkd_opp	Vkk_asl	Vkk_opp
Overig	2020<=2030	0	0.068874321	0	0.068874321	0	0.068874321	0	0.068874321	0	0.068874321	0	0.068874321	0	0.068874321	0	0.034169957	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Overig	2030<=2040	0	0.112344219	0	0.112344219	0	0.112344219	0	0.112344219	0	HUDIG	0	0.051621296	0	0.051621296	0	0.036134907	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Overig	2040<=2050	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Overig	onbekend	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	0<=1920	0	1.174642006	0	1.174642006	0	1.174642006	0	1.174642006	0	1.174642006	0	0.278391906	0	0.278391906	0	0.194874334	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	1920<=1975	0	0.797229598	0	0.797229598	0	0.797229598	0	0.797229598	0	0.797229598	0	0.797229598	0	0.278391906	0	0.194874334	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	1975<=1990	0	0.472312353	0	0.472312353	0	0.472312353	0	0.472312353	0	0.472312353	0	0.278391906	0	0.278391906	0	0.194874334	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	1990<=1995	0	0.469721176	0	0.469721176	0	0.469721176	0	0.469721176	0	0.469721176	0	0.469721176	0	0.469721176	0	0.194874334	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	1995<=2019	0	0.380637332	0	0.380637332	0	0.380637332	0	0.380637332	0	0.380637332	0	0.380637332	0	0.380637332	0	0.194874334	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	2020<=2030	0	0.636626893	0	0.636626893	0	0.636626893	0	0.636626893	0	0.636626893	0	0.295673148	0	0.295673148	0	0.206971204	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Cel	2030<=2040	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Cel	2040<=2050	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Cel	onbekend	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
