utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV_vast;V_RV_var;V_RV_GL_vast;V_RV_GL_var;V_RV_CORR_vast;V_RV_CORR_var;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;V_Vent;EnergieIndex;EnergieLabel;AC_WW;AC_RV;R_COLL;;;;MVB_EG_vast;MVB_eg_var;RB_FAC_B;MVB_EG_EUR_MIN_vast;MVB_EG_EUR_MIN_var;MVB_EG_EUR_MAX_vast;MVB_EG_EUR_MAX_var;MVC_EG_vast;MVC_EG_var;RB_FAC_C;MVC_EG_EUR_MIN_vast;MVC_EG_EUR_MIN_var;MVC_EG_EUR_MAX_vast;MVC_EG_EUR_MAX_var;MVF_EG_vast;MVF_EG_var;RB_FAC_F;MVF_EG_EUR_MIN_vast;MVF_EG_EUR_MIN_var;MVF_EG_EUR_MAX_vast;MVF_EG_EUR_MAX_var;MV_RV;K_LTAS_MIN;K_LTAS_MAX
Bijeenkomst;1990<=1995;utiliteit;0.033487398;0.72;1;nvt;0.619237267;0;0.619237267;0;0.619237267;0;0.01008;1;1.064439548;1;nvt;0.176084063;1.56;0.129;1;0;;B;0.04;0.094;0;;;;0.384339176;0;0;103.0648458;0;154.880115;0;0.269037423;0;0;145.0675237;0;225.7657532;0;0.269037423;0;0;42.00267783;0;70.8747594;0;1.07;9.057689018;9.057689018
Bijeenkomst;1995<=2015;utiliteit;0.033487398;0.72;1;nvt;0.435770119;0;0.435770119;0;0.435770119;0;0.01008;1;1.07;1;nvt;0.176084063;1.56;0.129;1;0;;B;0.04;0.094;0;;;;0.33090557;0;0;98.19118625;0;151.4206871;0;0.231633899;0;0;140.2047428;0;222.3063251;0;0.231633899;0;0;42.01355654;0;70.8747594;0;1.07;9.057689019;9.057689019
Bijeenkomst;onbekend;utiliteit;0.033487398;0.72;1;nvt;0.632280146;0;0.632280146;0;0.632280146;0;0.01008;1;0.960931919;1;nvt;0.176084063;1.56;0.129;1;0;;D;0.04;0.094;0;;;;0.263533269;0;0;108.3301388;0;159.7755321;0;0.184473288;0;0;150.3328166;0;230.6502915;0;0.184473288;0;0;42.00267783;0;70.8747594;0;1.07;9.057689020;9.057689020
Sport;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.724791492;0;0.724791492;0;0.724791492;0;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;0;;G;0.04;0.07;0;;;;0.214911431;0;0;186.4827514;0;270.5751368;0;0.150438002;0;0;262.2746853;0;402.5011855;0;0.150438002;0;0;75.79193381;0;131.9260487;0;1.07;9.057689021;9.057689021
Sport;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.544171907;0;0.544171907;0;0.544171907;0;0.01008;1;0.854;1;nvt;0.086802003;1.56;0.454;1;0;;E;0.04;0.07;0;;;;0.214911431;0;0;185.4927893;0;269.0847542;0;0.150438002;0;0;261.2847232;0;401.0216816;0;0.150438002;0;0;75.79193381;0;131.9260487;0;1.07;9.057689022;9.057689022
Sport;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.329260473;0;0.329260473;0;0.329260473;0;0.01008;1;0.9747;1;nvt;0.086802003;1.56;0.454;1;0;;C;0.04;0.07;0;;;;0.214911431;0;0;167.5320483;0;257.0311498;0;0.150438002;0;0;243.3131035;0;388.9680771;0;0.150438002;0;0;75.7810551;0;131.9260487;0;1.07;9.057689023;9.057689023
Sport;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.32547952;0;0.32547952;0;0.32547952;0;0.01008;1;1.0434;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;;;;0.214911431;0;0;162.9194777;0;249.6336307;0;0.150438002;0;0;238.7005328;0;381.5705581;0;0.150438002;0;0;75.7810551;0;131.9260487;0;1.07;9.057689024;9.057689024
Sport;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.276025048;0;0.276025048;0;0.276025048;0;0.01008;1;1.07;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;;;;0.214911431;0;0;153.444126;0;242.8018044;0;0.150438002;0;0;229.2251811;0;374.7387317;0;0.150438002;0;0;75.7810551;0;131.9260487;0;1.07;9.057689025;9.057689025
Sport;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.389907353;0;0.389907353;0;0.389907353;0;0.01008;1;0.977057937;1;nvt;0.086802003;1.56;0.454;1;0;;D;0.04;0.07;0;;;;0.222799623;0;0;167.6408353;0;255.2144061;0;0.155959736;0;0;243.4218904;0;387.1513334;0;0.155959736;0;0;75.7810551;0;131.9260487;0;1.07;9.057689026;9.057689026
Overig;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.227744373;0;0.227744373;0;0.227744373;0;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;0;;G;0.04;0.07;0;;;;0.048814225;0;0;117.522644;0;187.6467728;0;0.034169957;0;0;170.3278753;0;291.505764;0;0.034169957;0;0;52.80523133;0;103.8589913;0;1.07;9.057689027;9.057689027
Overig;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.165521952;0;0.165521952;0;0.165521952;0;0.01008;1;0.854;1;nvt;0.086802003;1.56;0.454;1;0;;E;0.04;0.07;0;;;;0.048814225;0;0;116.9678301;0;186.6894468;0;0.034169957;0;0;169.7730615;0;290.5375594;0;0.034169957;0;0;52.80523133;0;103.8589913;0;1.07;9.057689028;9.057689028
Overig;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.089303509;0;0.089303509;0;0.089303509;0;0.01008;1;0.9747;1;nvt;0.086802003;1.56;0.454;1;0;;C;0.04;0.07;0;;;;0.048814225;0;0;102.1836708;0;178.2584509;0;0.034169957;0;0;154.9889021;0;282.1065635;0;0.034169957;0;0;52.80523133;0;103.8589913;0;1.07;9.057689029;9.057689029
Overig;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.086385542;0;0.086385542;0;0.086385542;0;0.01008;1;1.0434;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;;;;0.048814225;0;0;99.75771969;0;173.4718209;0;0.034169957;0;0;152.562951;0;277.3199335;0;0.034169957;0;0;52.80523133;0;103.8589913;0;1.07;9.057689030;9.057689030
Overig;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.068874321;0;0.068874321;0;0.068874321;0;0.01008;1;1.07;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;;;;0.048814225;0;0;92.07735435;0;168.7395845;0;0.034169957;0;0;144.8825857;0;272.5876971;0;0.034169957;0;0;52.80523133;0;103.8589913;0;1.07;9.057689031;9.057689031
Overig;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.112344219;0;0.112344219;0;0.112344219;0;0.01008;1;0.985320833;1;nvt;0.086802003;1.56;0.454;1;0;;D;0.04;0.07;0;;;;0.051621296;0;0;101.8681883;0;176.0718313;0;0.036134907;0;0;154.6734197;0;279.9308226;0;0.036134907;0;0;52.80523133;0;103.8589913;0;1.07;9.057689032;9.057689032
Cel;0<=1920;utiliteit;0.003776774;0.72;1;nvt;1.174642006;0;1.174642006;0;1.174642006;0;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;0;;G;0.04;0.07;0;;;;0.278391906;0;0;77.83713025;0;110.5493945;0;0.194874334;0;0;104.4464413;0;152.1278029;0;0.194874334;0;0;26.60931105;0;41.57840835;0;1.07;9.057689033;9.057689033
Cel;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.797229598;0;0.797229598;0;0.797229598;0;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;0;;E;0.04;0.07;0;;;;0.278391906;0;0;77.51076911;0;110.0707315;0;0.194874334;0;0;104.1092015;0;151.6600186;0;0.194874334;0;0;26.59843234;0;41.58928706;0;1.07;9.057689034;9.057689034
