"type_str"	"bouwjaar_str"	"eigendom_str"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"	"freq_label_A"	"freq_label_B"	"freq_label_C"	"freq_label_D"	"freq_label_E"	"freq_label_F"	"freq_label_G"
"Vrijstaand"	"2015 - 2020"	"wooncorp"	13.5287757179	0.1350908747	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"2021 - 2030"	"koop"	13.5287757179	0.1350908747	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	7.066666667	0	11.082384	0	0	0.01296	1	0	0	0	0	0	0
"Vrijstaand"	"2021 - 2030"	"parthuur"	11.0558529885	0.14730845	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	7.066666667	0	11.082384	0	0	0.01296	1	0	0	0	0	0	0
"Vrijstaand"	"2021 - 2030"	"wooncorp"	13.5287757179	0.1350908747	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	7.066666667	0	11.082384	0	0	0.01296	1	0	0	0	0	0	0
"Vrijstaand"	"2031 - 2040"	"koop"	13.5287757179	0.1350908747	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	7.066666667	0	11.082384	0	0	0.01296	1	0	0	0	0	0	0
"Vrijstaand"	"2031 - 2040"	"parthuur"	11.0558529885	0.14730845	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	7.066666667	0	11.082384	0	0	0.01296	1	0	0	0	0	0	0
"Vrijstaand"	"2031 - 2040"	"wooncorp"	13.5287757179	0.1350908747	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	7.066666667	0	11.082384	0	0	0.01296	1	0	0	0	0	0	0
"Vrijstaand"	"2041 - 2050"	"koop"	13.5287757179	0.1350908747	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	7.066666667	0	11.082384	0	0	0.01296	1	0	0	0	0	0	0
"Vrijstaand"	"2041 - 2050"	"parthuur"	11.0558529885	0.14730845	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	7.066666667	0	11.082384	0	0	0.01296	1	0	0	0	0	0	0
"Vrijstaand"	"2041 - 2050"	"wooncorp"	13.5287757179	0.1350908747	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	7.066666667	0	11.082384	0	0	0.01296	1	0	0	0	0	0	0
"2 onder 1 kap"	"voor 1930"	"koop"	28.9433300165	0.1523923516	24.6120807309	0.1912394297	28.6626096923	0.1912394297	26.0811231266	0.1912394297	24.5234181877	0.1912394297	23.1303517578	0.1912394297	23.1303517578	0.1912394297	23.1303517578	0.1912394297	0	0.0078	7.5	0	9.9	0	0	0.01296	0.035	0.049	0.198	0.302	0.241	0.175	0.000
"2 onder 1 kap"	"voor 1930"	"parthuur"	30.3238778585	0.1471512907	20.4066202121	0.2290254843	18.2282106611	0.2290254843	16.0498011009	0.2290254843	16.0498011009	0.2290254843	16.0498011009	0.2290254843	16.0498011009	0.2290254843	16.0498011009	0.2290254843	0	0.0078	7.5	0	9.9	0	0	0.01296	0.035	0.049	0.198	0.302	0.241	0.175	0.000
"2 onder 1 kap"	"voor 1930"	"wooncorp"	12.5714018896	0.30689347	31.387157926	0.1144017634	29.1365000293	0.1144017634	29.0181558334	0.1144017634	24.6159567295	0.1144017634	21.136232028	0.1144017634	20.4265271845	0.1144017634	20.0312539606	0.1144017634	0	0.0078	7.5	0	9.9	0	0	0.01296	0.035	0.049	0.198	0.302	0.241	0.175	0.000
"2 onder 1 kap"	"1930 - 1945"	"koop"	27.3487707433	0.1727115994	23.2199619803	0.2009149172	22.9276980688	0.2009149172	25.0317684026	0.2009149172	27.4225312607	0.2009149172	20.4985858436	0.2009149172	20.4985858436	0.2009149172	20.4985858436	0.2009149172	0	0.0078	7.5	0	9.9	0	0	0.01296	0.035	0.049	0.198	0.302	0.241	0.175	0.000
"2 onder 1 kap"	"1930 - 1945"	"parthuur"	28.7941930388	0.1824398492	31.1935522066	0.1765426855	31.1935522066	0.1765426855	31.1935522066	0.1765426855	31.1935522066	0.1765426855	31.1935522066	0.1765426855	31.1935522066	0.1765426855	31.1935522066	0.1765426855	0	0.0078	7.5	0	9.9	0	0	0.01296	0.035	0.049	0.198	0.302	0.241	0.175	0.000
