"type_str"	"bouwjaar_str"	"Default_label"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"	"Vkk_asl"	"Vkk_opp"
"rijwoning hoek"	"2015 - 2020"	"A"	3.5719900089	0.1456598832	25.4214456889	0.1460706749	25.1818172089	0.109544448	14.4327682489	0.2071759373	24.8394908089	0.0789747005	7.3405908622	0.1825626691	14.5677295117	0.0904666408	6.7213928889	0.116870233	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
"rijwoning hoek"	"2021 - 2030"	"A"	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	0.7596	0
"rijwoning hoek"	"2031 - 2040"	"A"	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	0.7596	0
"rijwoning hoek"	"2041 - 2050"	"A"	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	0.7596	0
"rijwoning tussen"	"voor 1930"	"E"	18.5080808178	0.1640428109	15.0505841778	0.179242103	15.3244452978	0.1719847834	13.6812785778	0.1775989363	9.4706638578	0.1926270653	11.5930875378	0.1594898698	9.5544320734	0.1693367589	6.5266568178	0.1909154333	0	0.007035359	7.1	0	9.98	0	0	0.01296	0.7596	0
"rijwoning tussen"	"1930 - 1945"	"E"	22.1709732978	0.1442905776	16.7279835378	0.1766061898	18.7477092978	0.1592844739	14.3316987378	0.1929009264	10.7372715378	0.20111676	9.2310353778	0.18827952	9.623254166	0.1601145985	10.4291777778	0.1326172474	0	0.007035359	7.1	0	9.98	0	0	0.01296	0.7596	0
"rijwoning tussen"	"1946 - 1964"	"D"	25.8338657778	0.0991719581	15.7694696178	0.1734567869	15.8037022578	0.1798925232	23.7799073778	0.0803097734	16.1117960178	0.1396691712	12.8596952178	0.142544713	11.722327991	0.1304522766	16.9333793778	0.0778450234	0	0.007829621	6.4	0	10.13	0	0	0.01296	0.7596	0
"rijwoning tussen"	"1965 - 1974"	"C"	27.8346575289	0.0824321971	15.1343480889	0.1902992458	13.7308098489	0.1907100374	17.0171432889	0.1536018557	24.0690671289	0.0747298531	20.9196642489	0.0728812906	11.5656511207	0.1459716585	7.7058652089	0.1555873488	0	0.007632555	7.3	0	9.94	0	0	0.01296	0.7596	0
"rijwoning tussen"	"1975 - 1991"	"C"	21.3646885689	0.082637593	15.1343480889	0.1902992458	15.8190008889	0.1460706749	9.7255909689	0.1905046416	20.8169663289	0.061995311	15.3739765689	0.086813975	12.6323935563	0.0968670954	3.9745074489	0.1770169814	0	0.004510267	7.3	0	9.94	0	0	0.01296	0.7596	0
"rijwoning tussen"	"1992 - 1995"	"B"	13.6281119289	0.1064635104	15.1343480889	0.1902992458	15.8190008889	0.1460706749	9.7255909689	0.1905046416	6.0284658489	0.1491858451	6.4050248889	0.1448725325	3.7199325616	0.1721584647	1.8863164089	0.1785916829	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
"rijwoning tussen"	"1996 - 1999"	"B"	12.8065285689	0.0887994682	15.1343480889	0.1902992458	15.8190008889	0.1460706749	9.7255909689	0.1905046416	6.0284658489	0.1491858451	6.1996290489	0.1446671366	3.0661226817	0.1595984328	6.1996290489	0.1272084902	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
"rijwoning tussen"	"2000 - 2005"	"A"	15.5109071289	0.084349225	15.1343480889	0.1902992458	15.8190008889	0.1460706749	9.7255909689	0.1905046416	6.0284658489	0.1491858451	16.5036536889	0.0365262269	5.3372517383	0.1398464922	7.8085631289	0.093660503	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
"rijwoning tussen"	"2006 - 2010"	"A"	15.9216988089	0.0700742141	15.1343480889	0.1902992458	15.8190008889	0.1460706749	9.7255909689	0.1905046416	6.0284658489	0.1491858451	22.5285983289	0.0045529411	9.8450988051	0.0815885908	11.4029903289	0.0793170269	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
"rijwoning tussen"	"2011 - 2014"	"A"	12.7038306489	0.0512120294	15.1343480889	0.1902992458	15.8190008889	0.1460706749	9.7255909689	0.1905046416	6.0284658489	0.1491858451	22.5285983289	0.0045529411	7.7460249801	0.0825865112	8.2193548089	0.0813709853	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
"rijwoning tussen"	"2015 - 2020"	"A"	12.7038306489	0.0512120294	15.1343480889	0.1902992458	15.8190008889	0.1460706749	9.7255909689	0.1905046416	6.0284658489	0.1491858451	22.5285983289	0.0045529411	7.7460249801	0.0825865112	1.6809205689	0.1170756288	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
"rijwoning tussen"	"2021 - 2030"	"A"	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	0.7596	0
"rijwoning tussen"	"2031 - 2040"	"A"	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	0.7596	0
"rijwoning tussen"	"2041 - 2050"	"A"	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"voor 1930"	"E"	17.1653585422	0.1449409978	9.0179902222	0.2205266669	9.0179902222	0.2121396701	7.3748235022	0.2192942918	5.5604935822	0.2129270208	4.8758407822	0.2038553712	2.8483626958	0.1902871921	2.4110907022	0.1884506832	0	0.007174355	5	0	8.41	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"1930 - 1945"	"E"	20.1093655822	0.1277562125	9.3945492622	0.2202870384	11.6196708622	0.1894091971	8.0937089422	0.2483235706	9.1206881422	0.1996447565	4.7389102222	0.2277839866	5.2265453734	0.1824685093	5.5604935822	0.1648643942	0	0.007174355	5	0	8.41	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"1946 - 1964"	"D"	17.8812335289	0.1285777958	12.4382437689	0.1698965923	12.8148028089	0.1641455088	11.5824277689	0.1668156547	12.0959173689	0.1427158762	10.5896812089	0.1318641293	8.3511535547	0.1201145141	8.8780492089	0.0926677565	0	0.00646244	5.3	0	8.34	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"1965 - 1974"	"D"	17.7207300978	0.106600441	13.5443480178	0.167363377	15.0848168178	0.1191295872	12.4146708978	0.1371017232	10.3949451378	0.1387448899	9.6418270578	0.1131731078	8.9476992419	0.0683157408	3.6511150578	0.1448382998	0	0.004827624	5.6	0	8.29	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"1975 - 1991"	"C"	12.9966257778	0.1157747885	12.0381118578	0.1838977421	6.3554936178	0.2367871709	8.9914068978	0.191326225	8.6490804978	0.1461733728	14.0578376178	0.062851127	10.4462801072	0.0660678695	3.5141844978	0.1363828378	0	0.002521148	5.5	0	8.3	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"1992 - 1995"	"B"	7.2266082489	0.1277904451	12.0381118578	0.1838977421	6.3554936178	0.2367871709	8.9914068978	0.191326225	1.5097573689	0.1545603696	5.4122783289	0.1101606355	2.0883330683	0.1357518797	1.6466879289	0.1499389632	0	0	5.7	0	8.26	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"1996 - 1999"	"B"	7.7058652089	0.1141316218	12.0381118578	0.1838977421	6.3554936178	0.2367871709	7.2266082489	0.1139262259	1.5097573689	0.1545603696	5.3780456889	0.1015682429	0.7852192723	0.1421371373	1.6466879289	0.1499389632	0	0	5.7	0	8.26	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"2000 - 2005"	"B"	4.5906949689	0.1222447574	12.0381118578	0.1838977421	6.3554936178	0.2367871709	13.5254140089	0.1139262259	16.9144453689	0.0831853152	11.8822472889	0.0643231306	2.511845052	0.1049983941	1.8178511289	0.1235113651	0	0	5.7	0	8.26	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"2006 - 2010"	"A"	5.4465109689	0.104786111	12.0381118578	0.1838977421	6.3554936178	0.2367871709	13.5254140089	0.1139262259	8.1508895289	0.1513425014	9.0751708089	0.0858896938	5.8347852317	0.068902142	4.2483685689	0.082158336	0	0	5.7	0	8.26	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"2011 - 2014"	"A"	3.1186914489	0.1114272432	12.0381118578	0.1838977421	6.3554936178	0.2367871709	13.5254140089	0.1139262259	8.1508895289	0.1513425014	5.0357192889	0.1500758938	9.2880367909	0.019742174	2.4682712889	0.1000277741	0	0	5.7	0	8.26	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"2015 - 2020"	"A"	3.1186914489	0.1114272432	12.0381118578	0.1838977421	6.3554936178	0.2367871709	13.5254140089	0.1139262259	8.1508895289	0.1513425014	5.0357192889	0.1500758938	9.2880367909	0.019742174	2.4682712889	0.1000277741	0	0	5.7	0	8.26	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"2021 - 2030"	"A"	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	0	0	3.8	0	9.978048	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"2031 - 2040"	"A"	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	0	0	3.8	0	9.978048	0	0	0.01296	0.7596	0
"meergezins: laag en midden"	"2041 - 2050"	"A"	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	13.32	0	0	0	3.8	0	9.978048	0	0	0.01296	0.7596	0
"meergezins: hoog"	"voor 1930"	"E"	16.2640252089	0.1449409978	8.1166568889	0.2205266669	8.1166568889	0.2121396701	6.4734901689	0.2192942918	4.6591602489	0.2129270208	3.9745074489	0.2038553712	1.9905995336	0.1902871921	1.5097573689	0.1884506832	0	0.007174355	5.6	0	8.28	0	0	0.01296	0.7596	0
"meergezins: hoog"	"1930 - 1945"	"E"	19.2080322489	0.1277562125	8.4932159289	0.2202870384	10.7183375289	0.1894091971	7.1923756089	0.2483235706	8.2193548089	0.1996447565	3.8375768889	0.2277839866	4.3687822112	0.1824685093	4.6591602489	0.1648643942	0	0.007174355	5.6	0	8.28	0	0	0.01296	0.7596	0
"meergezins: hoog"	"1946 - 1964"	"D"	15.8532335289	0.1285777958	10.4102437689	0.1698965923	10.7868028089	0.1641455088	9.5544277689	0.1668156547	10.0679173689	0.1427158762	8.5616812089	0.1318641293	6.4211864398	0.1201145141	6.8500492089	0.0926677565	0	0.00646244	5.6	0	8.28	0	0	0.01296	0.7596	0
"meergezins: hoog"	"1965 - 1974"	"D"	21.25095232	0.106600441	17.07457024	0.167363377	18.61503904	0.1191295872	15.94489312	0.1371017232	13.92516736	0.1387448899	13.17204928	0.1131731078	12.307271627	0.0683157408	7.18133728	0.1448382998	0	0.004827624	6.1	0	8.18	0	0	0.01296	0.7596	0
"meergezins: hoog"	"1975 - 1991"	"C"	16.0010702222	0.1157747885	15.0425563022	0.1838977421	9.3599380622	0.2367871709	11.9958513422	0.191326225	11.6535249422	0.1461733728	17.0622820622	0.062851127	13.3054906478	0.0660678695	6.5186289422	0.1363828378	0	0.002521148	5.4	0	8.32	0	0	0.01296	0.7596	0
