type_str;bouwjaar_str;Default_label;Vrv_N_asl;Vrv_N_opp;Vrv_G_asl;Vrv_G_opp;Vrv_F_asl;Vrv_F_opp;Vrv_E_asl;Vrv_E_opp;Vrv_D_asl;Vrv_D_opp;Vrv_C_asl;Vrv_C_opp;Vrv_B_asl;Vrv_B_opp;Vrv_A_asl;Vrv_A_opp;Vvent_asl;Vvent_opp;Vww_asl;Vww_opp;Ve_asl;Ve_opp;Vk_asl;Vk_opp;Ki_SGD_min_asl;Ki_SGD_min_opp;Ki_SGD_max_asl;Ki_SGD_max_opp;Ki_SFD_min_asl;Ki_SFD_min_opp;Ki_SFD_max_asl;Ki_SFD_max_opp;Ki_SED_min_asl;Ki_SED_min_opp;Ki_SED_max_asl;Ki_SED_max_opp;Ki_SGC_min_asl;Ki_SGC_min_opp;Ki_SGC_max_asl;Ki_SGC_max_opp;Ki_SFC_min_asl;Ki_SFC_min_opp;Ki_SFC_max_asl;Ki_SFC_max_opp;Ki_SEC_min_asl;Ki_SEC_min_opp;Ki_SEC_max_asl;Ki_SEC_max_opp;Ki_SDC_min_asl;Ki_SDC_min_opp;Ki_SDC_max_asl;Ki_SDC_max_opp;Ki_SGB_min_asl;Ki_SGB_min_opp;Ki_SGB_max_asl;Ki_SGB_max_opp;Ki_SFB_min_asl;Ki_SFB_min_opp;Ki_SFB_max_asl;Ki_SFB_max_opp;Ki_SEB_min_asl;Ki_SEB_min_opp;Ki_SEB_max_asl;Ki_SEB_max_opp;Ki_SDB_min_asl;Ki_SDB_min_opp;Ki_SDB_max_asl;Ki_SDB_max_opp;Ki_SCB_min_asl;Ki_SCB_min_opp;Ki_SCB_max_asl;Ki_SCB_max_opp
meergezins: hoog;1930 - 1945;E;11.63576471;0.224902514;11.47367708;0.236607227;11.1043041;0.231627174;10.52958914;0.228586278;8.43100364;0.226487792;9.317254794;0.213065381;7.050945501;0.219929716;2.544031822;0.212944064;0;0.007174355;7.7;0;8.28;0;0;0.01917;10071;0;10071;0;-910;70;-910;70;-168;57;-168;57;12405;18;12405;18;9230;2;9230;2;5464;40;5464;40;1646;13;1646;13;26168;22;26168;22;11837;121;11837;121;14879;39;14879;39;10167;49;10167;49;4029;87;4029;87
meergezins: hoog;1946 - 1964;D;13.06103032;0.184848351;13.98978789;0.193212888;14.24358925;0.183468912;13.95677581;0.184256815;12.95675918;0.182712347;11.80226118;0.174681135;9.456876019;0.169974446;8.977510199;0.166199286;0;0.00646244;7.7;0;8.28;0;0;0.01917;4497;30;4497;30;-910;70;-910;70;2245;10;2245;10;-2092;178;-2092;178;9230;2;9230;2;5274;32;5274;32;1758;12;1758;12;26168;22;26168;22;11837;121;11837;121;9238;108;9238;108;4859;156;4859;156;11450;6;11450;6
meergezins: hoog;1965 - 1974;D;14.22472703;0.121992134;14.8379193;0.120647661;16.7679991;0.115135697;17.41370142;0.11893898;14.81765825;0.116184706;13.51796852;0.11516476;12.17753874;0.113477296;8.850673852;0.114305524;0;0.004827624;4.95;0;8.18;0;0;0.01917;-978;161;-978;161;-1105;95;-1105;95;180;53;180;53;16315;9;16315;9;6072;42;6072;42;1140;90;1140;90;-1067;61;-1067;61;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;3757;152;3757;152;5312;75;5312;75
meergezins: hoog;1975 - 1991;C;8.304449999;0.182887057;13.80910674;0.19416533;13.5021096;0.17636549;12.86668338;0.191829155;11.69307886;0.181865295;7.93412184;0.183153647;7.605345472;0.175597226;6.52253602;0.173603001;0;0.002521148;5.3;0;8.32;0;0;0.01917;-978;161;-978;161;2372;57;2372;57;4862;2;4862;2;8779;88;8779;88;6072;42;6072;42;5238;45;5238;45;1814;31;1814;31;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9681;32;9681;32;11221;1;11221;1
meergezins: hoog;1992 - 1995;B;7.024577034;0.156805933;18.08513228;0.166066036;14.89275537;0.165797027;12.75563445;0.175421076;10.20433969;0.148286532;6.014597254;0.157715138;7.070537993;0.148202863;7.452150925;0.139202135;0;0;5.55;0;8.21;0;0;0.01917;-978;161;-978;161;2372;57;2372;57;4862;2;4862;2;8779;88;8779;88;6072;42;6072;42;5238;45;5238;45;1814;31;1814;31;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;5417;118;5417;118;9194;25;9194;25
meergezins: hoog;1996 - 1999;B;7.408202425;0.132821042;23.09611333;0.135337487;23.21523815;0.119087378;18.09403322;0.135005038;9.744619723;0.119406746;5.749341782;0.132765923;6.969892339;0.127295445;8.052072991;0.111896063;0;0;5.55;0;8.21;0;0;0.01917;10071;0;10071;0;830;66;830;66;-168;57;-168;57;12807;23;12807;23;7950;20;7950;20;5710;33;5710;33;1944;19;1944;19;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9524;75;9524;75;7171;39;7171;39
meergezins: hoog;2000 - 2005;B;4.195367509;0.142807792;21.7909191;0.141817141;17.27450763;0.141506359;16.40719527;0.131238877;17.21926851;0.122722186;4.563564034;0.138418075;3.376676094;0.147778022;5.40246128;0.129526237;0;0;5.55;0;8.21;0;0;0.01917;10071;0;10071;0;830;66;830;66;-168;57;-168;57;12807;23;12807;23;7950;20;7950;20;5710;33;5710;33;1944;19;1944;19;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9524;75;9524;75;7171;39;7171;39
meergezins: hoog;2006 - 2010;A;5.432757149;0.127233969;15.49704142;0.130635485;17.06486383;0.130759667;19.612178;0.110904917;18.72206623;0.102590601;12.36069739;0.106064851;6.642779307;0.123871692;5.005706618;0.126017239;0;0;5.5;0;8.21;0;0;0.01917;10071;0;10071;0;830;66;830;66;-168;57;-168;57;12807;23;12807;23;7950;20;7950;20;5710;33;5710;33;1944;19;1944;19;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9524;75;9524;75;7171;39;7171;39
meergezins: hoog;2011 - 2014;A;5.162335582;0.118563802;19.62721233;0.126188264;17.2230003;0.126020663;12.40391457;0.125582241;4.962314095;0.11477344;10.53777447;0.130758803;7.194329943;0.109304726;5.302590876;0.115866;0;0;5.5;0;8.21;0;0;0.01917;10071;0;10071;0;830;66;830;66;-168;57;-168;57;12807;23;12807;23;7950;20;7950;20;5710;33;5710;33;1944;19;1944;19;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9524;75;9524;75;7171;39;7171;39
meergezins: hoog;2015 - 2020;A;6.539075076;0.094718227;25.45397993;0.098896415;24.76670563;0.098863077;21.64049875;0.098691127;20.99944293;0.098651091;8.753135998;0.102591011;6.302771216;0.095576109;5.847365241;0.099389604;0;0;5.5;0;8.21;0;0;0.01917;10071;0;10071;0;830;66;830;66;-168;57;-168;57;12807;23;12807;23;7950;20;7950;20;5710;33;5710;33;1944;19;1944;19;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9524;75;9524;75;7171;39;7171;39
