gem2020,wijk2020,W,E,Verschilfactor totaal
GM0047,WK004702,2,1,1.2129
GM0047,WK004702,2,2,1.3276
GM0047,WK004702,3,0,1.4801
GM0047,WK004702,3,1,1.3366
GM0047,WK004702,3,2,1.6095
GM0047,WK004702,4,0,1.4588
GM0047,WK004702,4,1,1.3362
GM0047,WK004702,4,2,1.6328
GM0047,WK004702,5,0,1.1943
GM0047,WK004702,5,1,1.2062
GM0047,WK004702,5,2,1.3007
GM0047,WK004702,6,1,1.1521
GM0050,WK005000,1,0,0.8174
GM0050,WK005000,1,1,0.8411
GM0050,WK005000,2,0,0.7674
GM0050,WK005000,2,1,0.8160
GM0050,WK005000,3,0,0.7179
GM0050,WK005000,3,1,0.7939
GM0050,WK005000,3,2,0.7567
GM0050,WK005000,4,0,0.7433
GM0050,WK005000,4,1,0.6907
GM0050,WK005000,4,2,0.7371
GM0050,WK005000,5,0,0.6661
GM0050,WK005000,5,1,0.7728
GM0050,WK005000,5,2,0.7454
GM0050,WK005000,6,0,1.1468
GM0050,WK005000,6,1,0.9937
GM0059,WK005900,1,0,0.8028
GM0059,WK005900,1,1,0.8845
GM0059,WK005900,1,2,0.8845
GM0059,WK005900,2,0,0.8617
GM0059,WK005900,2,1,0.9464
GM0059,WK005900,2,2,1.0321
GM0059,WK005900,3,0,0.9905
GM0059,WK005900,3,1,1.0252
GM0059,WK005900,3,2,1.1311
GM0059,WK005900,4,0,1.0242
GM0059,WK005900,4,1,1.0228
GM0059,WK005900,4,2,1.1169
GM0059,WK005900,5,0,1.0829
GM0059,WK005900,5,1,1.0829
GM0059,WK005900,5,2,1.1990
GM0059,WK005901,1,0,0.8352
GM0059,WK005901,1,1,0.9008
GM0059,WK005901,1,2,0.9008
GM0059,WK005901,2,0,0.9193
GM0059,WK005901,2,1,0.9632
GM0059,WK005901,2,2,1.0334
GM0059,WK005901,3,0,1.0645
GM0059,WK005901,3,1,1.0323
GM0059,WK005901,3,2,1.0323
GM0059,WK005901,4,0,1.0591
GM0059,WK005901,4,1,1.0257
GM0059,WK005901,4,2,1.0257
GM0059,WK005901,5,0,1.1545
GM0059,WK005901,5,1,1.1545
GM0059,WK005901,5,2,1.3759
GM0059,WK005902,1,0,0.8690
GM0059,WK005902,1,1,0.9283
GM0059,WK005902,1,2,0.9283
GM0059,WK005902,2,0,0.9136
GM0059,WK005902,2,1,0.9604
GM0059,WK005902,2,2,0.9938
GM0059,WK005902,3,0,1.0033
GM0059,WK005902,3,1,1.0323
GM0059,WK005902,3,2,1.1265
GM0059,WK005902,4,0,1.1251
