gem2020,wijk2020,W,E,Verschilfactor_totaal
GM0014,WK001419,1,0,1.226852227
GM0014,WK001419,1,1,1.124743712
GM0014,WK001419,1,2,1.124743712
GM0014,WK001419,2,0,1.059320214
GM0014,WK001419,2,1,1.045051069
GM0014,WK001419,2,2,1.045051069
GM0014,WK001419,3,0,1.032457091
GM0014,WK001419,3,1,1.032457091
GM0014,WK001419,3,2,1.032457091
GM0014,WK001419,4,0,1.092724644
GM0014,WK001419,4,1,1.092724644
GM0014,WK001419,4,2,1.092724644
GM0014,WK001419,5,0,1.032457091
GM0014,WK001419,5,1,1.032457091
GM0014,WK001419,5,2,1.032457091
GM0014,WK001419,6,0,1.032457091
GM0014,WK001419,6,1,1.032457091
GM0014,WK001419,6,2,1.032457091
GM0024,WK002400,1,0,0.816369589
GM0024,WK002400,1,1,0.883991029
GM0024,WK002400,1,2,0.883991029
GM0024,WK002400,2,0,0.853574307
GM0024,WK002400,2,1,0.926914391
GM0024,WK002400,2,2,0.959605107
GM0024,WK002400,3,0,1.033650242
GM0024,WK002400,3,1,1.033650242
GM0024,WK002400,3,2,1.033650242
GM0024,WK002400,4,0,1.020214997
GM0024,WK002400,4,1,1.020214997
GM0024,WK002400,4,2,1.020214997
GM0024,WK002400,5,0,0.935821562
GM0024,WK002400,5,1,0.935821562
GM0024,WK002400,5,2,0.920980513
GM0024,WK002400,6,0,0.955001824
GM0024,WK002400,6,1,0.955001824
GM0024,WK002400,6,2,0.955001824
GM0024,WK002401,1,0,0.960790539
GM0024,WK002401,1,1,0.982302392
GM0024,WK002401,1,2,0.982302392
GM0024,WK002401,2,0,1.044680183
GM0024,WK002401,2,1,1.044680183
GM0024,WK002401,2,2,1.138391926
GM0024,WK002401,3,0,1.001989657
GM0024,WK002401,3,1,1.001989657
GM0024,WK002401,3,2,1.001989657
GM0024,WK002401,4,0,1.001989657
GM0024,WK002401,4,1,1.001989657
GM0024,WK002401,4,2,1.001989657
GM0024,WK002401,5,0,1.001989657
GM0024,WK002401,5,1,1.001989657
GM0024,WK002401,5,2,1.001989657
GM0024,WK002401,6,0,1.001989657
GM0024,WK002401,6,1,1.001989657
GM0024,WK002401,6,2,1.001989657
GM0024,WK002402,1,0,0.86381982
GM0024,WK002402,1,1,0.941606863
GM0024,WK002402,1,2,0.941606863
GM0024,WK002402,2,0,0.945306717
GM0024,WK002402,2,1,0.99628468
GM0024,WK002402,2,2,1.0228864
GM0024,WK002402,3,0,1.231796458
GM0024,WK002402,3,1,1.231796458
GM0024,WK002402,3,2,1.497630391
GM0024,WK002402,4,0,1.20444136
GM0024,WK002402,4,1,1.20444136
GM0024,WK002402,4,2,1.3753261
GM0024,WK002402,5,0,1.172659196
GM0024,WK002402,5,1,1.172659196
GM0024,WK002402,5,2,1.172659196
GM0024,WK002402,6,0,1.014512146
GM0024,WK002402,6,1,1.014512146
GM0024,WK002402,6,2,1.014512146
GM0024,WK002403,1,0,0.882033255
GM0024,WK002403,1,1,0.937199474
GM0024,WK002403,1,2,0.937199474
GM0024,WK002403,2,0,1.040120338
GM0024,WK002403,2,1,1.040120338
GM0024,WK002403,2,2,1.148563665
GM0024,WK002403,3,0,0.992620205
GM0024,WK002403,3,1,0.992620205
GM0024,WK002403,3,2,0.992620205
GM0024,WK002403,4,0,0.992620205
GM0024,WK002403,4,1,0.992620205
GM0024,WK002403,4,2,0.992620205
GM0024,WK002403,5,0,0.992620205
GM0024,WK002403,5,1,0.992620205
GM0024,WK002403,5,2,0.992620205
GM0024,WK002403,6,0,0.992620205
GM0024,WK002403,6,1,0.992620205
GM0024,WK002403,6,2,0.992620205
GM0034,WK003401,1,0,1.135511215
GM0034,WK003401,1,1,1.092202598
GM0034,WK003401,1,2,1.092202598
GM0034,WK003401,2,0,0.931507691
GM0034,WK003401,2,1,0.989739265
GM0034,WK003401,2,2,0.989739265
GM0034,WK003401,3,0,1.108590845
GM0034,WK003401,3,1,1.085078221
GM0034,WK003401,3,2,1.14013305
GM0034,WK003401,4,0,1.134376157
GM0034,WK003401,4,1,1.106044379
GM0034,WK003401,4,2,1.213932378
GM0034,WK003401,5,0,1.257027232
GM0034,WK003401,5,1,1.114759058
GM0034,WK003401,5,2,1.185345912
GM0034,WK003401,6,0,1.076309941
GM0034,WK003401,6,1,1.125920076
GM0034,WK003401,6,2,1.011014305
GM0034,WK003402,1,0,1.006137206
GM0034,WK003402,1,1,1.006137206
GM0034,WK003402,1,2,1.006137206
GM0034,WK003402,2,0,1.006137206
GM0034,WK003402,2,1,1.006137206
GM0034,WK003402,2,2,1.006137206
GM0034,WK003402,3,0,1.006137206
GM0034,WK003402,3,1,1.006137206
GM0034,WK003402,3,2,1.006137206
GM0034,WK003402,4,0,1.006137206
GM0034,WK003402,4,1,1.006137206
GM0034,WK003402,4,2,1.006137206
GM0034,WK003402,5,0,1.006137206
GM0034,WK003402,5,1,1.006137206
GM0034,WK003402,5,2,1.006137206
GM0034,WK003402,6,0,1.006137206
GM0034,WK003402,6,1,1.006137206
GM0034,WK003402,6,2,1.006137206
GM0034,WK003403,1,0,1.029923655
GM0034,WK003403,1,1,1.010174167
GM0034,WK003403,1,2,1.010174167
GM0034,WK003403,2,0,1.030170386
GM0034,WK003403,2,1,1.011873579
GM0034,WK003403,2,2,1.011873579
GM0034,WK003403,3,0,0.949721834
GM0034,WK003403,3,1,0.969862542
GM0034,WK003403,3,2,1.00301408
GM0034,WK003403,4,0,0.920974233
GM0034,WK003403,4,1,0.983386858
GM0034,WK003403,4,2,0.96383642
GM0034,WK003403,5,0,1.084078786
GM0034,WK003403,5,1,1.008099202
GM0034,WK003403,5,2,1.048851022
GM0034,WK003403,6,0,1.094457805
GM0034,WK003403,6,1,1.154579692
GM0034,WK003403,6,2,1.074401853
GM0034,WK003405,1,0,1.121084585
GM0034,WK003405,1,1,1.076579068
GM0034,WK003405,1,2,1.076579068
GM0034,WK003405,2,0,1.217733683
GM0034,WK003405,2,1,1.124786175
GM0034,WK003405,2,2,1.124786175
GM0034,WK003405,3,0,1.014267726
GM0034,WK003405,3,1,1.014267726
GM0034,WK003405,3,2,1.014267726
GM0034,WK003405,4,0,1.017914236
GM0034,WK003405,4,1,1.023694192
GM0034,WK003405,4,2,1.023694192
GM0034,WK003405,5,0,1.037046338
GM0034,WK003405,5,1,1.037046338
GM0034,WK003405,5,2,1.037046338
GM0034,WK003405,6,0,1.037046338
GM0034,WK003405,6,1,1.037046338
GM0034,WK003405,6,2,1.037046338
GM0037,WK003701,1,0,1.389260136
GM0037,WK003701,1,1,1.289316258
GM0037,WK003701,1,2,1.289316258
GM0037,WK003701,2,0,1.37276815
GM0037,WK003701,2,1,1.289108583
GM0037,WK003701,2,2,1.476224878
GM0037,WK003701,3,0,1.473369147
GM0037,WK003701,3,1,1.330651733
GM0037,WK003701,3,2,1.49285721
GM0037,WK003701,4,0,1.587525666
