gem2020;wijk2020;buurt2020;woningtype;verschilfactor
GM0014;WK001405;BU00140502;2;1.134591746
GM0014;WK001405;BU00140502;5;1.134591746
GM0014;WK001405;BU00140503;1;1.047045265
GM0014;WK001405;BU00140503;3;1.047045265
GM0014;WK001405;BU00140503;4;1.047045265
GM0014;WK001405;BU00140503;6;1.084494497
GM0014;WK001405;BU00140505;1;1.134591746
GM0014;WK001405;BU00140506;1;1.134591746
GM0014;WK001405;BU00140510;1;1.134591746
GM0014;WK001406;BU00140600;1;1.025233712
GM0014;WK001406;BU00140600;2;1.025233712
GM0014;WK001406;BU00140600;3;1.025233712
GM0014;WK001406;BU00140600;4;1.025233712
GM0014;WK001406;BU00140600;6;1.025233712
GM0014;WK001406;BU00140601;1;1.006592103
GM0014;WK001406;BU00140601;2;1.006592103
GM0014;WK001406;BU00140601;3;0.95861846
GM0014;WK001406;BU00140601;4;1.024572417
GM0014;WK001406;BU00140601;5;1.067151616
GM0014;WK001406;BU00140601;6;1.065717869
GM0014;WK001406;BU00140602;1;0.965884007
GM0014;WK001406;BU00140602;2;0.965884007
GM0014;WK001406;BU00140602;3;0.965884007
GM0014;WK001406;BU00140602;4;0.929063483
GM0014;WK001406;BU00140602;6;1.108339798
GM0014;WK001406;BU00140603;1;0.896555465
GM0014;WK001406;BU00140603;2;0.892848368
GM0014;WK001406;BU00140603;3;0.892848368
GM0014;WK001406;BU00140603;4;0.892848368
GM0014;WK001406;BU00140603;5;0.892848368
GM0014;WK001406;BU00140603;6;0.892848368
GM0014;WK001406;BU00140604;1;1.02589414
GM0014;WK001406;BU00140604;2;1.02589414
GM0014;WK001406;BU00140604;3;1.008498035
GM0014;WK001406;BU00140604;4;1.033881296
GM0014;WK001406;BU00140604;5;1.03250049
GM0014;WK001406;BU00140604;6;1.001132521
GM0014;WK001406;BU00140605;2;1.055744232
GM0014;WK001406;BU00140605;3;1.026144649
GM0014;WK001406;BU00140605;4;1.007485385
GM0014;WK001406;BU00140605;5;1.096409571
GM0014;WK001406;BU00140605;6;1.037851802
GM0014;WK001406;BU00140606;1;0.956221327
GM0014;WK001406;BU00140606;2;0.98010998
GM0014;WK001406;BU00140606;3;0.968405543
GM0014;WK001406;BU00140606;4;0.947355885
GM0014;WK001406;BU00140606;5;1.122657546
GM0014;WK001406;BU00140606;6;0.919454755
GM0014;WK001407;BU00140700;2;1.064133088
GM0014;WK001407;BU00140700;3;0.984716929
GM0014;WK001407;BU00140700;4;1.027567987
GM0014;WK001407;BU00140700;5;1.088101972
GM0014;WK001407;BU00140700;6;1.063855
GM0014;WK001407;BU00140701;1;1.091478672
GM0014;WK001407;BU00140701;2;1.091478672
GM0014;WK001407;BU00140701;3;1.122838282
GM0014;WK001407;BU00140701;4;1.071954547
GM0014;WK001407;BU00140701;5;1.087393982
GM0014;WK001407;BU00140701;6;1.134873166
GM0014;WK001407;BU00140702;1;0.979782177
GM0014;WK001407;BU00140702;2;0.976613616
GM0014;WK001407;BU00140702;3;0.976613616
GM0014;WK001407;BU00140702;4;0.976613616
GM0014;WK001407;BU00140702;6;0.976613616
GM0014;WK001407;BU00140704;1;1.056514025
GM0014;WK001407;BU00140704;2;0.945917105
GM0014;WK001407;BU00140704;3;0.986085343
GM0014;WK001407;BU00140704;4;0.986085343
GM0014;WK001407;BU00140704;5;0.986085343
GM0014;WK001407;BU00140704;6;0.986085343
GM0014;WK001408;BU00140800;1;1.065288183
GM0014;WK001408;BU00140800;2;1.101161568
GM0014;WK001408;BU00140800;3;1.058609061
GM0014;WK001408;BU00140800;4;0.995300982
GM0014;WK001408;BU00140800;5;0.965509626
GM0014;WK001408;BU00140801;1;1.025653283
GM0014;WK001408;BU00140801;2;1.053865873
GM0014;WK001408;BU00140801;3;1.006801021
GM0014;WK001408;BU00140801;4;1.034706877
GM0014;WK001408;BU00140801;5;1.005288754
GM0014;WK001408;BU00140801;6;1.10837577
GM0014;WK001408;BU00140802;1;1.027428282
GM0014;WK001408;BU00140803;1;1.027428282
GM0014;WK001408;BU00140803;2;1.027428282
GM0014;WK001408;BU00140803;3;1.027428282
GM0014;WK001408;BU00140803;4;1.027428282
GM0014;WK001408;BU00140803;5;1.027428282
GM0014;WK001408;BU00140804;1;1.027428282
GM0014;WK001408;BU00140804;2;1.027428282
GM0014;WK001408;BU00140805;1;1.027428282
GM0014;WK001408;BU00140805;5;1.027428282
GM0014;WK001408;BU00140806;1;1.086950328
GM0014;WK001408;BU00140806;2;1.108432876
GM0014;WK001408;BU00140806;3;1.086950328
GM0014;WK001408;BU00140806;4;1.078016443
GM0014;WK001408;BU00140806;5;1.086950328
GM0014;WK001408;BU00140808;1;1.027428282
GM0014;WK001408;BU00140808;3;1.027428282
GM0014;WK001408;BU00140808;4;1.027428282
GM0014;WK001408;BU00140808;5;1.027428282
GM0014;WK001408;BU00140809;1;0.995504482
GM0014;WK001408;BU00140809;2;0.995504482
GM0014;WK001408;BU00140809;3;0.995504482
GM0014;WK001408;BU00140809;4;0.995504482
GM0014;WK001408;BU00140809;5;0.995504482
GM0014;WK001408;BU00140810;1;1.174975064
GM0014;WK001408;BU00140810;2;1.021455541
GM0014;WK001408;BU00140810;3;1.021455541
GM0014;WK001408;BU00140810;4;0.962222902
GM0014;WK001408;BU00140812;2;0.824101019
GM0014;WK001408;BU00140812;3;0.824101019
GM0014;WK001408;BU00140812;4;0.824101019
GM0014;WK001409;BU00140900;2;1.072018486
GM0014;WK001409;BU00140900;3;1.02600967
GM0014;WK001409;BU00140900;4;1.027512816
GM0014;WK001409;BU00140900;5;1.088275877
GM0014;WK001409;BU00140900;6;1.13214473
GM0014;WK001409;BU00140901;1;0.987486793
GM0014;WK001409;BU00140901;2;0.987486793
GM0014;WK001409;BU00140901;3;0.978413255
GM0014;WK001409;BU00140901;4;0.945792827
GM0014;WK001409;BU00140901;5;1.033830014
GM0014;WK001409;BU00140901;6;1.04757172
GM0014;WK001409;BU00140902;1;1.053149705
GM0014;WK001409;BU00140902;2;1.053149705
GM0014;WK001409;BU00140902;3;1.053149705
GM0014;WK001409;BU00140902;4;1.053149705
GM0014;WK001409;BU00140903;1;1.053149705
GM0014;WK001409;BU00140903;2;1.053149705
GM0014;WK001409;BU00140904;1;1.047573721
GM0014;WK001409;BU00140904;2;1.094255112
GM0014;WK001409;BU00140904;3;1.078524163
GM0014;WK001409;BU00140904;4;1.10405083
GM0014;WK001409;BU00140904;6;1.02392234
GM0014;WK001409;BU00140905;1;1.053149705
GM0014;WK001409;BU00140905;2;1.053149705
GM0014;WK001409;BU00140906;1;1.16685839
GM0014;WK001409;BU00140906;2;1.16182616
GM0014;WK001409;BU00140906;3;1.086258265
